nome,sobrenome,genero,cpf,fk_endereco,fk_telefone
Pedro Henrique,da Mota,M,043.279.816-13,1270,1168
Alana,Caldeira,F,816.703.942-04,1301,2006
Paulo,Fogaça,M,817.530.624-62,2200,1121
Ana Julia,da Cunha,F,926.143.750-80,2656,1038
Pedro Miguel,Gonçalves,M,196.043.285-06,2272,1451
Esther,Vieira,F,275.680.413-44,2552,2872
Marcelo,Pires,M,312.784.096-96,1993,2388
Noah,Melo,M,657.210.438-90,1930,2599
Mariane,Pinto,F,063.458.192-98,2744,1472
Julia,Rocha,F,938.065.124-42,1007,2043
Davi Lucca,Cunha,M,314.250.697-70,2940,687
Vitória,Cavalcanti,F,839.175.026-40,1705,3022
Emanuella,Moraes,F,049.573.821-23,2478,2832
Yago,da Mota,M,648.139.075-39,1048,583
Júlia,Barbosa,F,361.982.405-33,266,2569
Isabelly,da Cunha,F,430.689.752-47,1737,615
Thales,Nascimento,M,196.350.782-77,2644,1790
André,da Paz,M,736.921.054-52,1567,208
Pietro,Costela,M,105.236.479-99,647,1640
Mariana,da Mota,F,935.780.241-04,2264,1531
Eloah,da Cruz,F,789.405.123-32,821,1774
Mariane,Carvalho,F,740.963.281-03,1979,838
Benício,Moreira,M,026.731.584-80,1745,761
Bernardo,Moura,M,273.684.950-74,589,1077
Eloah,Novaes,F,713.569.420-16,1163,1369
Ana Julia,Novaes,F,361.547.982-37,2174,215
Isabella,Rezende,F,261.035.849-06,2575,1425
Juliana,Castro,F,694.013.582-06,3000,3041
Bryan,Mendes,M,850.427.963-47,1551,2145
Helena,Teixeira,F,517.384.096-00,2984,1106
Bernardo,Pereira,M,519.486.730-10,2427,1280
Juliana,Lima,F,562.794.081-67,2092,1338
Isabel,Costa,F,812.673.509-03,1826,230
Thiago,Moreira,M,248.361.079-03,2080,476
Evelyn,Teixeira,F,179.263.085-95,990,1699
Eduarda,Cardoso,F,125.470.839-14,823,770
Matheus,Oliveira,M,794.612.835-55,1776,1227
João Gabriel,Rezende,M,154.837.962-09,494,1413
Francisco,Moura,M,730.591.268-95,2186,2825
Maria Vitória,Barros,F,956.807.421-01,2189,288
Thomas,Barros,M,721.068.439-50,3036,2088
Pedro Henrique,Alves,M,890.531.247-05,321,1108
Renan,da Mota,M,102.783.459-05,1183,1618
Clarice,da Costa,F,109.347.625-70,1231,717
Fernanda,Aragão,F,526.439.187-46,1777,2649
Theo,Freitas,M,706.294.135-25,180,1880
Miguel,Cavalcanti,M,078.653.429-00,636,2076
Thomas,Costela,M,846.327.509-56,1673,833
Fernanda,Lopes,F,294.760.513-61,175,253
João,Duarte,M,109.385.427-88,2606,1031
Isabel,Sales,F,306.842.197-78,1047,1852
Mariana,Pires,F,829.563.401-15,479,2512
Vitória,Moura,F,834.107.659-48,2239,1119
Milena,Duarte,F,491.620.357-70,2227,1930
Vicente,Barros,M,269.438.705-56,2771,526
Joana,Moraes,F,583.602.479-00,1974,1416
Joaquim,Martins,M,362.875.109-86,445,695
Bárbara,Aragão,F,137.582.069-95,1903,2480
João Vitor,Cavalcanti,M,092.374.685-47,2857,2031
Matheus,Novaes,M,925.643.817-82,1383,1817
Daniela,Almeida,F,056.314.879-93,2100,213
Amanda,Dias,F,348.516.097-01,3054,1887
Cecília,Nascimento,F,581.423.097-50,885,3047
Bruna,Fernandes,F,360.814.259-24,1622,2850
Ana,Dias,F,502.879.146-58,1515,2104
Luana,Ramos,F,392.617.804-31,1962,2777
Maria Fernanda,Viana,F,870.941.356-10,2346,2887
Rodrigo,Moraes,M,213.748.065-44,578,545
Bianca,Porto,F,592.813.607-21,1488,571
Rebeca,Souza,F,326.710.845-44,1981,2481
Esther,Cunha,F,219.046.837-03,1378,1446
Bernardo,Martins,M,326.104.879-40,567,1079
Isadora,Martins,F,450.986.721-20,1875,823
Letícia,Ramos,F,021.837.469-04,1611,2650
Natália,da Cruz,F,356.089.712-21,1155,947
Gabriel,Cunha,M,549.760.281-94,1579,2869
Stephany,da Cunha,F,654.701.982-94,2777,2439
Ryan,da Mota,M,735.846.192-46,770,2542
Mirella,Teixeira,F,924.386.510-24,1772,1930
Leonardo,Aragão,M,856.203.497-56,1455,460
Maria Luiza,Moraes,F,416.053.987-48,1480,1762
João Gabriel,Melo,M,791.203.458-79,877,469
Lorenzo,Cardoso,M,470.651.283-26,1371,2050
Emanuelly,Moura,F,948.372.051-60,982,133
Ana Clara,Pereira,F,137.684.259-91,2446,1348
Júlia,Lopes,F,590.786.132-03,2627,849
Noah,Silva,M,283.971.605-40,2975,671
Melissa,Carvalho,F,291.053.678-59,1097,270
Maria Cecília,Nunes,F,271.869.035-68,2081,240
Arthur,Castro,M,182.934.570-23,2820,1541
Laís,Porto,F,079.362.415-07,1593,2537
Bárbara,Ferreira,F,905.824.613-24,2430,366
Bárbara,Duarte,F,408.713.695-75,269,826
Joana,Nascimento,F,054.386.179-10,1378,1478
Henrique,Ramos,M,237.516.809-77,2797,692
Ana Carolina,Costela,F,659.430.728-29,420,442
Giovanna,Silva,F,159.327.846-28,2823,2678
Maria,Araújo,F,943.287.560-10,2184,2744
Levi,Porto,M,984.051.723-60,2640,736
Davi Lucas,Duarte,M,142.685.390-42,2429,2847
Ana Vitória,da Cunha,F,359.416.807-75,117,2774
Ana Sophia,da Paz,F,784.261.905-02,1156,3037
Ana Luiza,Pires,F,392.176.054-25,640,532
João Gabriel,Sales,M,920.486.713-22,559,3069
Luana,Caldeira,F,861.594.037-10,2201,1004
João Guilherme,Melo,M,264.079.135-43,3063,1388
Guilherme,Fogaça,M,859.013.674-48,1470,2765
Cecília,Ramos,F,940.175.268-02,2043,1454
Kevin,Barbosa,M,089.263.154-60,235,868
Maria Vitória,Campos,F,758.612.943-64,1930,2529
João Guilherme,da Cunha,M,108.965.724-20,1648,570
Igor,Campos,M,920.584.761-58,2277,1022
Luiz Otávio,da Cruz,M,795.108.324-05,956,2013
Nicolas,Souza,M,514.270.398-79,2267,847
Ana Vitória,Duarte,F,254.361.089-89,2134,1461
Valentina,Mendes,F,761.324.598-55,195,1341
Natália,Sales,F,508.672.134-26,969,297
João Lucas,Porto,M,519.346.782-28,2238,281
Sophia,da Rosa,F,385.472.690-29,510,235
Gabriel,Cardoso,M,794.206.185-01,1161,1954
Bruno,Ferreira,M,340.651.892-33,2228,1044
Nathan,Mendes,M,948.627.301-40,2931,2014
Luiz Miguel,Nogueira,M,043.765.912-70,1184,1955
Mariane,Farias,F,683.047.592-92,1742,852
Ana Luiza,Sales,F,149.582.360-15,2491,2930
Vicente,Campos,M,231.596.480-60,2462,1886
Bruna,Lima,F,452.068.739-00,3026,1520
Maria,da Cunha,F,217.964.305-52,180,460
Laura,Lima,F,421.953.608-60,862,2053
Maysa,Dias,F,896.451.273-19,2573,2764
Benjamin,Azevedo,M,231.780.549-79,1869,943
Ana Luiza,Monteiro,F,325.189.476-55,1434,640
Pietra,Castro,F,956.147.320-80,160,2988
Maria Sophia,Costa,F,076.248.513-26,3008,955
Fernanda,Santos,F,367.489.205-74,2462,1421
Lucas Gabriel,Almeida,M,861.502.394-89,1020,63
Isis,Ribeiro,F,261.483.905-15,2347,1436
Sophie,Nunes,F,172.439.065-16,376,3000
Isis,Silva,F,120.735.496-16,1083,2666
Marcos Vinicius,Gomes,M,190.482.763-22,2895,1055
Pedro,Nunes,M,351.946.720-80,2407,1607
Nicolas,Nunes,M,581.396.402-98,2098,685
Manuela,Barros,F,143.208.965-05,1787,1592
Maria Sophia,Aragão,F,807.364.952-74,2609,648
Isaac,Mendes,M,271.485.693-46,585,309
Camila,Lima,F,948.056.732-65,2323,773
Sophia,Dias,F,893.510.726-30,1900,129
Pietro,Barros,M,734.851.620-35,184,2492
Gustavo,Gonçalves,M,725.364.908-74,864,2873
Rafael,das Neves,M,058.291.763-86,2135,2672
Lara,Moura,F,428.035.961-05,2951,2658
Lorenzo,Oliveira,M,609.842.173-04,2584,2233
Juan,Sales,M,831.469.052-05,1336,631
Julia,Vieira,F,156.238.749-91,554,1729
Alexandre,Freitas,M,670.294.851-49,242,1212
Isabella,Teixeira,F,105.938.764-66,2695,1335
Ian,Nascimento,M,236.108.594-15,255,2557
Luiz Felipe,Porto,M,251.947.386-09,514,998
Marcela,Nascimento,F,578.260.413-17,1558,2455
Alícia,Rezende,F,209.463.781-69,1690,1036
Vitor,das Neves,M,076.915.284-85,1840,635
Kevin,Ramos,M,284.960.357-00,776,647
Fernanda,Duarte,F,369.025.781-68,1297,990
Stella,Oliveira,F,095.368.417-20,1086,1648
Caroline,Teixeira,F,647.315.809-00,119,910
Kamilly,Ribeiro,F,697.843.120-69,588,3001
Isabella,Rezende,F,109.278.356-30,1803,987
Pietra,Caldeira,F,623.491.058-06,67,2433
Vitor Hugo,Freitas,M,634.572.980-92,61,2162
Emanuel,Rezende,M,425.713.980-32,2294,2686
Lorena,Novaes,F,163.025.794-06,2732,3029
Caroline,Fernandes,F,072.659.381-86,2437,966
Maria Fernanda,Moura,F,497.802.635-00,602,2851
Enrico,Novaes,M,370.615.249-52,1991,416
Lara,Moreira,F,709.851.643-01,2886,624
Anthony,Castro,M,218.490.657-30,200,1086
Fernanda,Farias,F,460.289.317-13,261,1150
Ana Sophia,Rezende,F,057.893.412-41,2600,2371
Valentina,Rezende,F,137.625.480-80,1553,2881
Miguel,Ribeiro,M,483.602.519-24,1686,1488
Marcos Vinicius,Ramos,M,821.954.306-05,1520,322
João Pedro,Teixeira,M,687.140.253-53,2167,554
Giovanna,Peixoto,F,563.279.084-38,1606,2735
Yago,Silveira,M,460.259.381-05,2488,1756
Eduarda,Moura,F,837.249.056-29,999,876
Maria Eduarda,Oliveira,F,204.169.538-24,369,836
Ian,da Mota,M,368.075.129-02,2951,2279
Milena,Nogueira,F,957.613.408-01,2679,2578
Nina,Lopes,F,584.132.067-07,124,2175
Vitor,Silveira,M,175.083.964-48,1285,1539
Manuela,Nunes,F,908.627.513-30,2993,2651
Nicolas,Nunes,M,519.823.746-91,1954,2207
Renan,Araújo,M,271.564.809-01,2298,924
Sophia,da Rocha,F,920.613.854-51,2861,2664
Kevin,da Rocha,M,726.948.510-02,345,573
Yago,da Mota,M,052.761.834-90,190,2536
Giovanna,Araújo,F,107.658.234-62,2555,495
Davi,Costela,M,249.813.570-79,164,1251
Milena,Correia,F,159.243.768-00,1993,839
Rodrigo,Viana,M,015.386.297-12,2446,2498
Cauã,Souza,M,562.981.407-94,2661,1974
Luiz Fernando,Pires,M,532.807.149-23,2233,2261
Lavínia,Martins,F,539.274.801-50,572,110
Nicole,Fernandes,F,928.064.731-87,1714,1982
Lucas Gabriel,Ferreira,M,429.130.867-13,336,1500
Marcelo,Jesus,M,594.286.310-51,1806,1647
Vitor Gabriel,Santos,M,098.721.653-86,469,1436
Joana,da Rosa,F,204.873.615-71,1144,1354
Nathan,Costa,M,450.691.873-84,2379,1224
Luiz Henrique,Gomes,M,395.178.206-40,2101,1690
Cauã,Pinto,M,075.894.126-94,738,879
Davi Lucca,da Mota,M,324.578.610-71,1649,1273
Anthony,Mendes,M,729.306.518-30,899,421
Caio,Sales,M,379.804.265-92,991,215
Luna,Novaes,F,317.842.095-97,881,544
Joana,Jesus,F,154.867.039-10,467,241
Ana Beatriz,da Paz,F,398.415.270-14,2608,2716
Nathan,Rodrigues,M,920.758.163-95,3006,2618
Isabel,da Costa,F,094.385.127-05,1426,2354
Maria Julia,Moreira,F,342.758.961-73,439,435
João Lucas,Rezende,M,875.416.930-57,2989,1407
Mariane,Barbosa,F,564.098.312-42,2071,960
Luiz Henrique,da Mota,M,827.490.163-04,2495,75
Ana Luiza,Carvalho,F,658.207.319-21,1634,2445
Vinicius,da Rocha,M,063.542.917-99,540,2482
Daniel,Rocha,M,395.804.612-60,2023,439
Gustavo,Cardoso,M,954.713.806-57,2904,266
Juliana,Nascimento,F,270.438.915-23,1655,2670
Yuri,da Rocha,M,924.801.653-70,3047,1460
Luana,da Conceição,F,145.362.087-71,421,1124
Isabelly,Almeida,F,274.536.918-00,1166,1642
Henrique,Dias,M,256.381.794-37,577,1567
Murilo,Pinto,M,014.789.532-41,2469,1900
Luiz Otávio,Azevedo,M,697.048.235-92,2949,1652
Júlia,Monteiro,F,782.159.360-59,2109,1880
Isabella,Carvalho,F,281.506.473-17,2875,1210
João Lucas,Aragão,M,673.908.521-86,1711,635
Bruno,Ferreira,M,097.583.642-00,1760,749
Ana Luiza,da Paz,F,978.562.401-30,2730,472
Ana Laura,Moura,F,127.458.063-35,1450,1911
Daniel,da Conceição,M,046.295.873-65,161,727
Marcelo,Novaes,M,103.284.957-60,2994,1540
Enzo,Viana,M,590.713.248-50,3007,1473
Benício,Porto,M,782.149.563-82,1840,1874
Marcos Vinicius,Pires,M,963.517.840-93,2878,633
Luiz Felipe,da Mota,M,968.523.174-55,363,2603
Emanuelly,Correia,F,129.854.673-73,1271,2373
Leandro,Almeida,M,621.507.849-20,2977,815
Nina,Viana,F,836.497.251-00,724,2910
Davi Lucca,Campos,M,489.352.617-00,425,901
Sarah,Duarte,F,369.201.748-04,772,2748
Fernando,Caldeira,M,764.259.810-67,2237,729
Natália,Freitas,F,027.169.543-99,1351,1085
Vitor Gabriel,Rezende,M,957.306.182-12,1269,1945
Sofia,Barros,F,754.308.921-14,438,700
Manuela,Martins,F,854.209.613-42,978,961
Daniela,Fogaça,F,025.976.134-61,177,1687
Júlia,Teixeira,F,341.589.260-33,2366,2135
Isabelly,Teixeira,F,824.306.719-13,2960,446
Otávio,Lopes,M,580.129.673-59,2802,1078
Nina,Jesus,F,504.162.738-07,2112,294
Nathan,Cardoso,M,924.301.567-25,1232,797
Bernardo,Pinto,M,537.014.692-61,910,2768
Larissa,Nascimento,F,937.580.162-40,2135,477
Ana Carolina,Araújo,F,287.045.391-41,1702,749
Ana Júlia,da Luz,F,957.382.140-05,1266,707
Fernando,Fogaça,M,418.362.059-70,725,1451
Luiz Gustavo,da Rocha,M,732.584.906-00,2389,840
Benjamin,Ferreira,M,568.341.207-26,1153,937
Lívia,Cardoso,F,916.085.432-42,3016,2826
Maysa,da Cruz,F,025.837.961-86,606,2646
Caroline,Silveira,F,871.459.206-11,1859,217
Valentina,Moraes,F,476.823.019-96,106,337
Luiz Felipe,Moraes,M,104.295.867-01,954,1811
Davi Lucas,da Cunha,M,719.382.640-96,2644,586
Ana Clara,Ferreira,F,617.902.835-40,2889,1112
Laís,Rezende,F,802.746.593-10,320,1316
Maysa,Souza,F,084.926.753-65,323,1943
Yago,Lopes,M,062.941.857-85,3054,2242
Miguel,Nunes,M,056.917.328-03,43,1590
Lorena,Viana,F,053.287.641-53,1307,547
Marcelo,Novaes,M,360.914.527-70,2357,3006
Henrique,Nogueira,M,689.375.210-59,2877,2519
Giovanna,Nascimento,F,930.471.852-04,224,1637
Maria Vitória,Aragão,F,602.785.394-83,2077,1740
Larissa,Araújo,F,276.319.845-73,784,38
Leonardo,da Mata,M,763.581.924-00,2521,2951
Mariana,Gonçalves,F,841.097.325-14,2442,2352
Pietro,Gomes,M,985.043.267-56,1415,389
Enzo Gabriel,Barbosa,M,348.690.521-05,1949,2664
Pedro Henrique,Almeida,M,853.621.794-46,53,481
Otávio,Correia,M,491.028.675-67,1129,1061
Isabelly,Teixeira,F,807.134.526-17,2387,2810
João Miguel,Sales,M,015.743.826-08,191,2086
Felipe,da Luz,M,879.046.312-96,1277,2647
Luna,Moraes,F,521.469.308-70,213,2602
Augusto,Moraes,M,635.741.289-91,2153,204
Antônio,Jesus,M,925.870.143-79,1276,2925
Felipe,Cardoso,M,537.480.129-50,2300,2972
Thales,Teixeira,M,132.967.580-03,1806,1554
Maitê,da Cruz,F,574.918.362-91,2657,626
Ana Júlia,Costela,F,287.963.514-46,2191,2110
Benício,Silva,M,982.761.045-76,1310,1365
Ana Luiza,Novaes,F,684.907.352-47,1598,2842
Bryan,Ramos,M,206.174.853-80,1692,2713
Heitor,Moraes,M,967.150.243-16,2688,2565
Theo,Almeida,M,764.102.358-44,1250,175
Luiz Fernando,Ramos,M,031.629.857-30,473,2218
Luiz Otávio,Rezende,M,876.439.251-19,2645,2323
Amanda,Barros,F,158.073.942-32,2734,1212
Eduarda,Moura,F,273.410.896-87,2937,2918
Maria Vitória,Teixeira,F,193.028.756-95,2953,2248
Maria Julia,Pinto,F,016.978.253-03,2941,137
Vitor Gabriel,Moraes,M,703.465.912-52,2601,2998
Ana Sophia,Castro,F,945.873.102-04,91,838
Marcela,Correia,F,417.809.623-04,420,239
Emanuelly,Freitas,F,401.825.796-11,148,1292
Clara,Cardoso,F,918.467.320-69,571,292
Maria Julia,da Paz,F,406.127.983-13,324,2982
Ana Julia,Castro,F,176.839.450-48,1354,929
Ana Julia,Cardoso,F,391.602.485-05,2136,2717
Cecília,Porto,F,609.431.257-07,1727,547
Rafaela,Rodrigues,F,627.348.501-17,2577,1187
Vitória,Gonçalves,F,857.241.063-53,3001,2558
Gustavo Henrique,Cardoso,M,624.835.710-26,1993,1832
Sabrina,Cavalcanti,F,125.749.830-41,2568,732
Renan,Peixoto,M,540.689.713-66,1332,88
Enrico,da Luz,M,572.803.916-21,986,2235
Calebe,Moraes,M,082.376.594-65,2951,811
Ana Julia,Moreira,F,509.148.326-89,81,534
Ana Julia,Ribeiro,F,380.562.741-62,60,2307
Giovanna,Cardoso,F,982.461.073-13,1019,90
Renan,Cardoso,M,936.704.185-39,2646,2216
Esther,Cardoso,F,635.481.729-46,2755,2976
Júlia,Teixeira,F,481.053.627-08,3050,723
Kaique,Ramos,M,843.165.729-46,2747,2103
Augusto,Peixoto,M,874.396.205-00,1245,1674
Felipe,da Costa,M,912.503.748-04,935,2019
Lucas Gabriel,Santos,M,128.345.796-28,2705,1714
Maria Eduarda,Carvalho,F,423.017.685-62,2768,2594
Valentina,Carvalho,F,901.827.465-85,889,914
Lucas,Castro,M,129.846.507-94,1602,2512
Alexandre,Lima,M,678.291.403-40,1828,1062
Maria Cecília,da Mota,F,208.315.476-26,221,475
Fernanda,Araújo,F,397.148.250-32,318,2074
Maria Cecília,Freitas,F,405.189.637-48,2130,2024
Clara,Cardoso,F,625.073.491-07,97,2031
Pedro Lucas,Fernandes,M,817.025.963-03,136,809
Danilo,Azevedo,M,728.610.934-04,407,994
Benício,Barbosa,M,271.068.345-80,2187,274
Laura,Almeida,F,078.295.164-30,2339,623
Rodrigo,Ramos,M,875.943.261-64,322,3061
Eduardo,Pires,M,345.912.706-61,759,2695
Theo,Ramos,M,903.521.467-61,2197,2503
Luana,das Neves,F,257.603.419-52,417,233
Maria Clara,Costela,F,871.532.049-97,1595,2455
Diego,Ferreira,M,289.374.650-00,2887,1156
Clarice,Nogueira,F,237.869.501-21,2094,2286
Diego,da Mata,M,493.081.567-39,680,1030
Bianca,Barros,F,734.829.561-46,1954,954
Emanuel,Duarte,M,807.963.514-57,945,2509
Letícia,Nunes,F,645.921.380-15,501,53
Larissa,da Rosa,F,701.253.469-99,2775,1347
Lucas Gabriel,Alves,M,260.351.784-80,1404,2744
Marcelo,Pinto,M,983.751.462-00,208,1315
Gabriel,Azevedo,M,142.806.937-22,157,1107
Ian,Fernandes,M,687.043.925-74,748,1992
Agatha,Lopes,F,246.709.581-94,2271,1372
Nina,Almeida,F,045.371.692-06,2100,1550
Pietra,Teixeira,F,183.567.942-00,207,2103
João Felipe,Lima,M,478.251.690-85,2186,512
Guilherme,Carvalho,M,845.297.306-38,1328,2071
Fernando,Almeida,M,982.064.571-94,2986,592
Breno,Cardoso,M,948.653.201-05,2130,89
Laís,Sales,F,013.489.267-40,955,308
Henrique,Teixeira,M,685.327.910-77,492,838
Pietro,Rocha,M,691.054.837-00,1392,842
Nicole,Costela,F,934.015.862-89,3070,746
Carolina,Cardoso,F,375.240.861-80,2457,25
Matheus,Vieira,M,309.648.152-06,1213,2258
Benício,das Neves,M,917.306.528-59,829,129
Luiz Henrique,Rodrigues,M,153.429.087-79,2965,2389
Maria Sophia,Rezende,F,956.102.438-15,972,1925
Luiz Henrique,Rodrigues,M,412.975.836-55,267,2140
Melissa,da Cruz,F,019.268.534-15,2601,1229
João Guilherme,das Neves,M,054.982.367-00,1483,655
Ana Lívia,Sales,F,694.301.785-39,1284,1990
Mirella,Lopes,F,046.152.938-60,2472,194
Felipe,Pires,M,865.943.710-10,1979,1890
Paulo,Carvalho,M,802.697.315-12,1728,131
Daniela,Porto,F,428.790.653-56,919,1464
João,Ferreira,M,041.623.579-43,574,1872
Davi Lucca,Nunes,M,370.861.495-00,2059,2091
Luiz Gustavo,Costa,M,657.430.219-61,1042,225
André,Moura,M,695.028.173-03,1861,2304
Luiz Henrique,Mendes,M,356.879.420-92,82,860
Lorena,Nunes,F,691.432.570-70,1030,2152
Thales,Alves,M,871.256.349-82,1248,1276
Yago,Santos,M,714.583.620-35,995,1676
Otávio,Melo,M,274.186.093-96,757,844
Gustavo,da Rosa,M,850.961.372-95,2715,1833
Vinicius,Alves,M,160.543.972-06,2140,2350
Sabrina,Alves,F,674.982.510-94,2042,1841
Catarina,Barbosa,F,625.137.984-73,122,1754
Ian,Ramos,M,614.095.728-11,1456,1529
Catarina,Fogaça,F,124.756.398-73,2812,1432
Antônio,Farias,M,156.480.237-07,1861,1171
Joaquim,Nunes,M,470.596.213-34,2198,2322
Paulo,da Costa,M,361.284.970-04,634,2459
Lívia,Moraes,F,795.304.218-50,1456,2491
Maria Luiza,Mendes,F,673.801.529-12,326,1888
Maria Cecília,Peixoto,F,579.826.103-40,2222,2032
Bárbara,Pires,F,704.659.238-10,1409,323
Clarice,Gomes,F,126.439.087-40,2358,2462
João Guilherme,Castro,M,684.235.170-71,2078,34
Clara,Martins,F,248.163.059-98,748,1838
Luana,Cardoso,F,390.176.548-48,1750,640
Erick,Campos,M,975.021.683-03,482,13
Luiz Felipe,Porto,M,613.275.904-25,2935,1906
Gabrielly,Oliveira,F,283.167.590-12,1978,448
Lucas Gabriel,Silva,M,602.498.537-10,1723,1749
Carolina,Nascimento,F,698.315.274-37,1373,145
Rafaela,Fogaça,F,380.496.712-40,2031,1257
Isabelly,Almeida,F,951.462.807-11,2999,2821
Nathan,Ribeiro,M,823.579.610-40,434,630
Caio,da Costa,M,602.731.854-62,308,2871
João Gabriel,Castro,M,396.718.405-66,2228,877
Murilo,Pereira,M,461.302.795-07,1721,864
Juliana,Jesus,F,296.073.481-50,977,1093
Ana Vitória,Silva,F,712.453.869-64,2529,1055
Ana Júlia,Barros,F,657.491.802-20,405,171
Ana Júlia,Fogaça,F,408.375.691-84,1913,2569
Francisco,Gomes,M,820.694.731-04,1520,2485
Davi Luiz,da Mata,M,738.140.652-71,2198,97
Alice,da Cruz,F,438.625.179-00,3,927
Gustavo,da Paz,M,940.873.125-50,1351,141
Letícia,Carvalho,F,450.372.816-44,2350,77
Melissa,Alves,F,196.237.840-31,916,1231
Júlia,da Costa,F,587.102.364-90,1168,2062
Ana Julia,Sales,F,687.154.930-75,2511,2819
Yago,Freitas,M,784.230.915-97,655,531
Marina,Souza,F,802.569.741-01,54,1296
Sofia,Silveira,F,734.581.902-79,2230,618
Igor,Oliveira,M,397.256.481-37,1959,2166
Diego,Monteiro,M,814.936.270-31,2785,1774
Maria Alice,Almeida,F,175.693.420-70,2913,2164
Lavínia,Sales,F,932.851.764-82,836,297
Alana,Campos,F,721.984.065-94,1033,1279
Emanuel,Rodrigues,M,568.034.219-70,829,1260
Antônio,Dias,M,931.564.078-01,633,2290
Laura,Monteiro,F,716.249.805-11,530,2264
Stella,da Luz,F,150.986.247-11,2322,468
Maitê,Moura,F,897.512.034-14,1090,699
Camila,Costela,F,952.317.480-05,2960,985
Kaique,Moura,M,381.097.564-84,1980,2610
Júlia,Rezende,F,401.768.235-90,1078,729
Maria Fernanda,Santos,F,387.150.629-02,282,1891
Diogo,Correia,M,261.937.480-40,1525,321
Kevin,Moura,M,942.857.316-73,374,541
Rafael,Monteiro,M,084.691.235-05,2260,2097
Lorena,Fernandes,F,791.482.536-00,632,360
Rafaela,da Mota,F,786.093.124-96,1477,2993
Esther,Viana,F,389.416.270-87,1794,1638
Maria Julia,Ribeiro,F,045.129.867-58,2196,1075
Alice,da Mota,F,130.842.659-33,340,1329
Caio,Souza,M,480.137.652-53,882,2973
Giovanna,Moraes,F,238.905.174-04,603,317
Nicole,Caldeira,F,139.827.654-55,2367,538
Ana Laura,Caldeira,F,315.042.987-05,2201,1807
Lívia,Cavalcanti,F,549.071.263-52,2342,1949
Maria Fernanda,Santos,F,184.063.597-57,2517,435
